title,price,sqft,bedrooms,bathrooms,address,neighbourhood,url,source,url_canon,address_norm,unit,source_rank,variant_id
,2995.0,750.0,1.5,1.0,"35 Mariner Terr - Toronto, ON",,,,,35 mariner terr - toronto on,,999,69fbb2161b
,2800.0,600.0,1.0,1.0,"224 King Street West - Toronto, ON",,,,,224 king street west - toronto on,,999,7140165d6e
,2095.0,500.0,1.0,1.0,"11 Brunel Court - Toronto, ON",,,,,11 brunel court - toronto on,,999,fd258ce795
,4200.0,1200.0,2.0,2.0,"85 Queens Wharf Road - Toronto, ON",,,,,85 queens wharf road - toronto on,,999,8d7917a01b
,2300.0,600.0,1.0,1.0,"81 Navy Wharf Court - Toronto, ON",,,,,81 navy wharf court - toronto on,,999,d6d5a4e25a
,2925.0,750.0,2.0,1.0,"333 Adelaide Street East - Toronto, ON",,,,,333 adelaide street east - toronto on,,999,5a6f9d0196
,3250.0,799.0,2.0,2.0,"488 University Avenue - Toronto, ON",,,,,488 university avenue - toronto on,,999,3e70d773f0
,2400.0,599.0,1.0,1.0,"832 Bay Street - Toronto, ON",,,,,832 bay street - toronto on,,999,8d87bf9f77
,2250.0,525.0,1.0,1.0,"77 & 99 Gerrard Street West - Toronto, ON",,,,,77 & 99 gerrard street west - toronto on,,999,3ce8a8145b
,3099.0,820.0,1.0,1.0,"131 Bloor Street West - Toronto, ON",,,,,131 bloor street west - toronto on,,999,ed739c477b
,2975.0,799.0,1.5,1.0,"80 John Street - Toronto, ON",,,,,80 john street - toronto on,,999,701e65ecba
,2980.0,680.0,1.0,2.0,"8 Charlotte Street - Toronto, ON",,,,,8 charlotte street - toronto on,,999,af18ef19dc
,3200.0,750.0,2.5,2.0,"125 Blue Jays Way - Toronto, ON",,,,,125 blue jays way - toronto on,,999,68b028df60
,3800.0,1024.0,2.5,2.0,"8 Charlotte Street - Toronto, ON",,,,,8 charlotte street - toronto on,,999,1a4ace37fd
,2925.0,637.0,1.0,1.0,"633 Bay Street - Toronto, ON",,,,,633 bay street - toronto on,,999,b7c6d733c2
,3300.0,786.0,2.0,2.0,"51 East Liberty Street - Toronto, ON",,,,,51 east liberty street - toronto on,,999,8e21d87dbb
,2250.0,793.0,1.0,1.0,"1154 Queen St. W. - Toronto, ON",,,,,1154 queen st w - toronto on,,999,c62763b53c
,2205.0,523.0,1.0,1.0,"410 Dufferin Street - Toronto, ON",,,,,410 dufferin street - toronto on,,999,ec256ddd90
,2438.0,561.0,1.0,1.0,"410 Dufferin Street - Toronto, ON",,,,,410 dufferin street - toronto on,,999,a890b1aa92
,1999.0,583.0,1.0,1.0,"87 Jameson Avenue - Toronto, ON",,,,,87 jameson avenue - toronto on,,999,d6cbbccc20
,2750.0,650.0,1.5,1.0,"318 Richmond St W - Toronto, ON",,,,,318 richmond st w - toronto on,,999,92f43d6a4f
,2565.0,671.0,2.0,1.0,"150 Dowling Avenue - Toronto, ON",,,,,150 dowling avenue - toronto on,,999,9c8531f9ac
,2350.0,800.0,2.0,1.0,"179 Glenholme Avenue - Toronto, ON",,,,,179 glenholme avenue - toronto on,,999,54ea63d504
,2495.0,850.0,2.0,1.0,"403 Woodbine Avenue - Toronto, ON",,,,,403 woodbine avenue - toronto on,,999,8c40a1b209
,2249.0,566.0,1.0,1.0,"327 Chisholm Ave - Toronto, ON",,,,,327 chisholm ave - toronto on,,999,48f00a17e6
,1825.0,451.0,0.0,1.0,"325 Sammon Avenue - East York, ON",,,,,325 sammon avenue - east york on,,999,eae0ebb00d
,2119.0,598.0,1.0,1.0,"260 Gamble Ave - Toronto, ON",,,,,260 gamble ave - toronto on,,999,1844065717
,1849.0,510.0,1.0,1.0,"338-342 Donlands Ave - Toronto, ON",,,,,338-342 donlands ave - toronto on,338,999,6ae61ed9fe
,3950.0,1000.0,2.0,2.0,"20 Roblin Avenue - Toronto, ON",,,,,20 roblin avenue - toronto on,,999,1b0e81c7a9
,1825.0,435.0,1.0,1.0,"2575 Danforth Avenue - Toronto, ON",,,,,2575 danforth avenue - toronto on,,999,e885c52a81
,2250.0,535.0,2.0,1.0,"2575 Danforth Avenue - Toronto, ON",,,,,2575 danforth avenue - toronto on,,999,5b0273005b
