,price,size,address,bedrooms,bathrooms,furnished,apartmentOrCondo
https://rentals.ca/toronto/35-mariner-harbourview-estates,2995,750,"35 Mariner Terr - Toronto, ON",1.5,1,0,apartment
https://rentals.ca/toronto/224-king-street-west-id1010486,2800,600,"224 King Street West - Toronto, ON",1,1,0,condo
https://rentals.ca/toronto/3216-11-brunel-ct-toronto-ontario-m5v-3y3,2095,500,"11 Brunel Court - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/85-queens-wharf-road-id1009435,4200,1200,"85 Queens Wharf Road - Toronto, ON",2,2,0,condo
https://rentals.ca/toronto/81-navy-wharf-court-id1011334,2300,600,"81 Navy Wharf Court - Toronto, ON",1,1,0,condo
https://rentals.ca/toronto/50-lombard-street,4600,1100,"50 Lombard Street - Toronto, ON",2,2,1,condo
https://rentals.ca/toronto/89-yonge-street,9500,2000,"89 Yonge Street - Toronto, ON",4,5,0,apartment
https://rentals.ca/toronto/333-adelaide-street-east-id1001097,2925,750,"333 Adelaide Street East - Toronto, ON",2,1,0,condo
https://rentals.ca/toronto/488-university-avenue-id1015203,3250,799,"488 University Avenue - Toronto, ON",2,2,0,condo
https://rentals.ca/toronto/832-bay-street-id1015202,2400,599,"832 Bay Street - Toronto, ON",1,1,0,condo
https://rentals.ca/toronto/77-99-gerrard-street-west,2250,525,"77 & 99 Gerrard Street West - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/280-simcoe-street,4200,1450,"280 Simcoe Street - Toronto, ON",2.5,2,0,condo
https://rentals.ca/toronto/the-colonnade,3099,820,"131 Bloor Street West - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/80-john-street,2975,799,"80 John Street - Toronto, ON",1.5,1,0,condo
https://rentals.ca/toronto/8-charlotte-street-id989359,2980,680,"8 Charlotte Street - Toronto, ON",1,2,0,apartment
https://rentals.ca/toronto/125-blue-jays,3200,750,"125 Blue Jays Way - Toronto, ON",2.5,2,0,apartment
https://rentals.ca/toronto/8-charlotte-street-id1008002,3800,1024,"8 Charlotte Street - Toronto, ON",2.5,2,0,condo
https://rentals.ca/toronto/the-colonnade,4595,1280,"131 Bloor Street West - Toronto, ON",2,2,0,apartment
https://rentals.ca/toronto/horizon-on-bay-11492,2925,637,"633 Bay Street - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/liberty-central-i-11598,3300,786,"51 East Liberty Street - Toronto, ON",2,2,0,apartment
https://rentals.ca/toronto/1154-queen-street-west,2250,793,"1154 Queen St. W. - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/410-dufferin-street,2205,523,"410 Dufferin Street - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/410-dufferin-street,2438,561,"410 Dufferin Street - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/jameson-avenue-apartments,1999,583,"87 Jameson Avenue - Toronto, ON",1,1,0,apartment
https://rentals.ca/toronto/318-richmond-picasso-on-richmond,2750,650,"318 Richmond St W - Toronto, ON",1.5,1,0,apartment
https://rentals.ca/toronto/150-dowling-avenue,2565,671,"150 Dowling Avenue - Toronto, ON",2,1,0,apartment
https://rentals.ca/toronto/179-glenholme-avenue,2350,800,"179 Glenholme Avenue - Toronto, ON",2,1,1,apartment
https://rentals.ca/toronto/403-woodbine-avenue-1,2495,850,"403 Woodbine Avenue - Toronto, ON",2,1,0,apartment
