name,address,lat,lon,formatted_address,geocode_status,valid_bbox
Finch ,"5600 Yonge St, North York, ON",43.7798352,-79.4157812,"5600 Yonge St, North York, ON M2N 5S2, Canada",OK,True
North York Centre ,"North York, ON M2N 6L8",43.768936,-79.41324200000001,"North York, ON M2N 6L8, Canada",OK,True
Sheppard-Yonge,"North York, ON M2N 7H9",43.7617354,-79.4121867,"North York, ON M2N 7H9, Canada",OK,True
York Mills,"North York, ON M2P 2E3",43.7452263,-79.4065579,"North York, ON M2P 2E3, Canada",OK,True
Lawrence,"Lawrence Station, ON N0L 1P0",42.75594299999999,-81.414834,"Lawrence Station, ON N0L 1P0, Canada",OK,False
Eglinton,"Toronto, ON M4S 2B8",43.7054105,-79.3988179,"Toronto, ON M4S 2B8, Canada",OK,True
Davisville,"Toronto, ON M4S 1Z2",43.6975423,-79.3970587,"Toronto, ON M4S 1Z2, Canada",OK,True
St. Clair,"Toronto, ON M4T 1K2",43.6870387,-79.3924847,"Toronto, ON M4T 1K2, Canada",OK,True
Summerhill,"Toronto, ON M4T 1A1",43.6823459,-79.3906374,"Toronto, ON M4T 1A1, Canada",OK,True
Rosedale,"Toronto, ON M4W 1S9",43.67745499999999,-79.3882622,"Toronto, ON M4W 1S9, Canada",OK,True
Bloor,"2 Bloor St E, Toronto, ON M4W 1A8",43.67062019999999,-79.3863049,"2 Bloor St E, Toronto, ON M4W 1A8, Canada",OK,True
Wellesley,"16 Wellesley St E, Toronto, ON M4Y 1G2",43.6652938,-79.383939,"16 Wellesley St E, Toronto, ON M4Y 3B2, Canada",OK,True
College,"3 Carlton St., Toronto, ON M5B 1L2",43.6613341,-79.3830826,"3 Carlton St., Toronto, ON M5B 1L2, Canada",OK,True
Dundas,"Toronto, ON M5B 2L6",43.65623919999999,-79.38016879999999,"Toronto, ON M5B 2L6, Canada",OK,True
Queen,"8 Queen St W, Toronto, ON M5C 2X9",43.65236729999999,-79.379201,"8 Queen St W, Toronto, ON M5H 3X4, Canada",OK,True
King,"3 King St E, Toronto, ON M5H 1A1",43.64916239999999,-79.37783739999999,"3 King St E, Toronto, ON M5H 1A1, Canada",OK,True
Union,"55 Front Street West, Toronto, ON",43.6447084,-79.3782284,"55 Front St W, Toronto, ON M5J 2L5, Canada",OK,True
St. Andrew,"173 King Street West, Toronto, ON",43.6474262,-79.38527239999999,"173 King St W, Toronto, ON M5H 4H2, Canada",OK,True
Osgoode,"181 Queen Street West, Toronto, ON",43.6506815,-79.3869101,"181 Queen St W, Toronto, ON M5V 1Z4, Canada",OK,True
St. Patrick,"Toronto, ON M5G 1W8",43.6546902,-79.38817430000002,"Toronto, ON M5G 1W8, Canada",OK,True
